REF_DATE,GEO,Violations and calls for service,VALUE
20-Sep,Royal Newfoundland Constabulary [10C01],Uttering threats where relationship type is unknown,106
20-Sep,Royal Newfoundland Constabulary [10C01],Total robbery [160],0
20-Sep,Royal Newfoundland Constabulary [10C01],"Dangerous operation, causing death or bodily harm [911]",0
20-Sep,Royal Newfoundland Constabulary [10C01],"Impaired driving, causing death or bodily harm [921]",0
20-Sep,Royal Newfoundland Constabulary [10C01],Total breaking and entering [210],52
20-Sep,Royal Newfoundland Constabulary [10C01],"Breaking and entering, non-residential",36
20-Sep,Royal Newfoundland Constabulary [10C01],"Breaking and entering, residential",16
20-Sep,Royal Newfoundland Constabulary [10C01],Breaking and entering where location type is unknown,0
20-Sep,Royal Newfoundland Constabulary [10C01],Motor vehicle theft [2135],33
20-Sep,Royal Newfoundland Constabulary [10C01],Shoplifting [213],81
20-Sep,Royal Newfoundland Constabulary [10C01],Fraud/identity theft/identity fraud [216],88
20-Sep,Royal Newfoundland Constabulary [10C01],Fail to comply with order [3410],128
20-Sep,Royal Newfoundland Constabulary [10C01],"Impaired driving, operating while impaired [923]",57
20-Sep,Royal Newfoundland Constabulary [10C01],Provincial/Territorial acts related to COVID-19,0
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, domestic disturbances / disputes",139
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, Mental Health Act (MHA) apprehension",233
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, mental health - other",15
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, suicide/attempted suicide",11
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, overdose",
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, child welfare check",
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, check welfare - general",152
20-Sep,Royal Newfoundland Constabulary [10C01],"Calls for service, child custody matter - domestic",
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Total assaults (levels 1, 2, 3) [141]",5
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Assaults by non-family (levels 1, 2, 3)",4
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Assaults by family (levels 1, 2, 3)",1
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Assaults where relationship type is unknown,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Total sexual assaults (levels 1, 2, 3) [131]",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Sexual assaults by non-family (levels 1, 2, 3)",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Sexual assaults by family (levels 1, 2, 3)",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Sexual assaults where relationship type is unknown,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Assault against peace or public officer (level 1) [1460],1
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats [1627],5
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats by non-family,5
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats by family,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats where relationship type is unknown,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Total robbery [160],0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Total breaking and entering [210],2
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Breaking and entering, non-residential",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Breaking and entering, residential",2
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Breaking and entering where location type is unknown,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Motor vehicle theft [2135],1
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Shoplifting [213],1
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Fraud/identity theft/identity fraud [216],4
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Fail to comply with order [3410],2
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Impaired driving, operating while impaired [923]",4
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]",Provincial/Territorial acts related to COVID-19,0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, domestic disturbances / disputes",8
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, Mental Health Act (MHA) apprehension",
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, mental health - other",14
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, suicide/attempted suicide",0
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, overdose",1
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, child welfare check",
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, check welfare - general",
20-Sep,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, child custody matter - domestic",4
20-Sep,"Montréal, Quebec, municipal [24175]","Total assaults (levels 1, 2, 3) [141]",1059
20-Sep,"Montréal, Quebec, municipal [24175]","Assaults by non-family (levels 1, 2, 3)",769
20-Sep,"Montréal, Quebec, municipal [24175]","Assaults by family (levels 1, 2, 3)",290
20-Sep,"Montréal, Quebec, municipal [24175]",Assaults where relationship type is unknown,0
20-Sep,"Montréal, Quebec, municipal [24175]","Total sexual assaults (levels 1, 2, 3) [131]",119
20-Sep,"Montréal, Quebec, municipal [24175]","Sexual assaults by non-family (levels 1, 2, 3)",96
20-Sep,"Montréal, Quebec, municipal [24175]","Sexual assaults by family (levels 1, 2, 3)",23
20-Sep,"Montréal, Quebec, municipal [24175]",Sexual assaults where relationship type is unknown,0
20-Sep,"Montréal, Quebec, municipal [24175]",Assault against peace or public officer (level 1) [1460],44
20-Sep,"Montréal, Quebec, municipal [24175]",Uttering threats [1627],278
20-Sep,"Montréal, Quebec, municipal [24175]",Uttering threats by non-family,220
20-Sep,"Montréal, Quebec, municipal [24175]",Uttering threats by family,58
20-Sep,"Montréal, Quebec, municipal [24175]",Uttering threats where relationship type is unknown,0
20-Sep,"Montréal, Quebec, municipal [24175]",Total robbery [160],150
20-Sep,"Montréal, Quebec, municipal [24175]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"Montréal, Quebec, municipal [24175]","Impaired driving, causing death or bodily harm [921]",1
20-Sep,"Montréal, Quebec, municipal [24175]",Total breaking and entering [210],560
20-Sep,"Montréal, Quebec, municipal [24175]","Breaking and entering, non-residential",222
20-Sep,"Montréal, Quebec, municipal [24175]","Breaking and entering, residential",338
20-Sep,"Montréal, Quebec, municipal [24175]",Breaking and entering where location type is unknown,0
20-Sep,"Montréal, Quebec, municipal [24175]",Motor vehicle theft [2135],1134
20-Sep,"Montréal, Quebec, municipal [24175]",Shoplifting [213],250
20-Sep,"Montréal, Quebec, municipal [24175]",Fraud/identity theft/identity fraud [216],846
20-Sep,"Montréal, Quebec, municipal [24175]",Fail to comply with order [3410],248
20-Sep,"Montréal, Quebec, municipal [24175]","Impaired driving, operating while impaired [923]",133
20-Sep,"Montréal, Quebec, municipal [24175]",Provincial/Territorial acts related to COVID-19,
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, domestic disturbances / disputes",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, Mental Health Act (MHA) apprehension",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, mental health - other",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, suicide/attempted suicide",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, overdose",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, child welfare check",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, check welfare - general",
20-Sep,"Montréal, Quebec, municipal [24175]","Calls for service, child custody matter - domestic",
20-Sep,Quebec Provincial Police [24C01],"Total assaults (levels 1, 2, 3) [141]",1125
20-Sep,Quebec Provincial Police [24C01],"Assaults by non-family (levels 1, 2, 3)",563
20-Sep,Quebec Provincial Police [24C01],"Assaults by family (levels 1, 2, 3)",562
20-Sep,Quebec Provincial Police [24C01],Assaults where relationship type is unknown,0
20-Sep,Quebec Provincial Police [24C01],"Total sexual assaults (levels 1, 2, 3) [131]",164
20-Sep,Quebec Provincial Police [24C01],"Sexual assaults by non-family (levels 1, 2, 3)",103
20-Sep,Quebec Provincial Police [24C01],"Sexual assaults by family (levels 1, 2, 3)",61
20-Sep,Quebec Provincial Police [24C01],Sexual assaults where relationship type is unknown,0
20-Sep,Quebec Provincial Police [24C01],Assault against peace or public officer (level 1) [1460],65
20-Sep,Quebec Provincial Police [24C01],Uttering threats [1627],431
20-Sep,Quebec Provincial Police [24C01],Uttering threats by non-family,306
20-Sep,Quebec Provincial Police [24C01],Uttering threats by family,125
20-Sep,Quebec Provincial Police [24C01],Uttering threats where relationship type is unknown,0
20-Sep,Quebec Provincial Police [24C01],Total robbery [160],25
20-Sep,Quebec Provincial Police [24C01],"Dangerous operation, causing death or bodily harm [911]",6
20-Sep,Quebec Provincial Police [24C01],"Impaired driving, causing death or bodily harm [921]",8
20-Sep,Quebec Provincial Police [24C01],Total breaking and entering [210],482
20-Sep,Quebec Provincial Police [24C01],"Breaking and entering, non-residential",236
20-Sep,Quebec Provincial Police [24C01],"Breaking and entering, residential",246
20-Sep,Quebec Provincial Police [24C01],Breaking and entering where location type is unknown,0
20-Sep,Quebec Provincial Police [24C01],Motor vehicle theft [2135],453
20-Sep,Quebec Provincial Police [24C01],Shoplifting [213],97
20-Sep,Quebec Provincial Police [24C01],Fraud/identity theft/identity fraud [216],763
20-Sep,Quebec Provincial Police [24C01],Fail to comply with order [3410],417
20-Sep,Quebec Provincial Police [24C01],"Impaired driving, operating while impaired [923]",424
20-Sep,Quebec Provincial Police [24C01],Provincial/Territorial acts related to COVID-19,
20-Sep,Quebec Provincial Police [24C01],"Calls for service, domestic disturbances / disputes",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, Mental Health Act (MHA) apprehension",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, mental health - other",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, suicide/attempted suicide",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, overdose",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, child welfare check",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, check welfare - general",
20-Sep,Quebec Provincial Police [24C01],"Calls for service, child custody matter - domestic",
20-Sep,"Ottawa, Ontario, municipal [35010]","Total assaults (levels 1, 2, 3) [141]",264
20-Sep,"Ottawa, Ontario, municipal [35010]","Assaults by non-family (levels 1, 2, 3)",192
20-Sep,"Ottawa, Ontario, municipal [35010]","Assaults by family (levels 1, 2, 3)",72
20-Sep,"Ottawa, Ontario, municipal [35010]",Assaults where relationship type is unknown,0
20-Sep,"Ottawa, Ontario, municipal [35010]","Total sexual assaults (levels 1, 2, 3) [131]",58
20-Sep,"Ottawa, Ontario, municipal [35010]","Sexual assaults by non-family (levels 1, 2, 3)",49
20-Sep,"Ottawa, Ontario, municipal [35010]","Sexual assaults by family (levels 1, 2, 3)",9
20-Sep,"Ottawa, Ontario, municipal [35010]",Sexual assaults where relationship type is unknown,0
20-Sep,"Ottawa, Ontario, municipal [35010]",Assault against peace or public officer (level 1) [1460],10
20-Sep,"Ottawa, Ontario, municipal [35010]",Uttering threats [1627],77
20-Sep,"Ottawa, Ontario, municipal [35010]",Uttering threats by non-family,66
20-Sep,"Ottawa, Ontario, municipal [35010]",Uttering threats by family,11
20-Sep,"Ottawa, Ontario, municipal [35010]",Uttering threats where relationship type is unknown,0
20-Sep,"Ottawa, Ontario, municipal [35010]",Total robbery [160],45
20-Sep,"Ottawa, Ontario, municipal [35010]","Dangerous operation, causing death or bodily harm [911]",2
20-Sep,"Ottawa, Ontario, municipal [35010]","Impaired driving, causing death or bodily harm [921]",2
20-Sep,"Ottawa, Ontario, municipal [35010]",Total breaking and entering [210],231
20-Sep,"Ottawa, Ontario, municipal [35010]","Breaking and entering, non-residential",111
20-Sep,"Ottawa, Ontario, municipal [35010]","Breaking and entering, residential",120
20-Sep,"Ottawa, Ontario, municipal [35010]",Breaking and entering where location type is unknown,0
20-Sep,"Ottawa, Ontario, municipal [35010]",Motor vehicle theft [2135],82
20-Sep,"Ottawa, Ontario, municipal [35010]",Shoplifting [213],235
20-Sep,"Ottawa, Ontario, municipal [35010]",Fraud/identity theft/identity fraud [216],468
20-Sep,"Ottawa, Ontario, municipal [35010]",Fail to comply with order [3410],301
20-Sep,"Ottawa, Ontario, municipal [35010]","Impaired driving, operating while impaired [923]",49
20-Sep,"Ottawa, Ontario, municipal [35010]",Provincial/Territorial acts related to COVID-19,1
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, domestic disturbances / disputes",439
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, Mental Health Act (MHA) apprehension",121
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, mental health - other",225
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, suicide/attempted suicide",7
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, overdose",34
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, child welfare check",
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, check welfare - general",
20-Sep,"Ottawa, Ontario, municipal [35010]","Calls for service, child custody matter - domestic",17
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Total assaults (levels 1, 2, 3) [141]",90
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Assaults by non-family (levels 1, 2, 3)",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Assaults by family (levels 1, 2, 3)",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Assaults where relationship type is unknown,90
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Total sexual assaults (levels 1, 2, 3) [131]",10
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Sexual assaults by non-family (levels 1, 2, 3)",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Sexual assaults by family (levels 1, 2, 3)",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Sexual assaults where relationship type is unknown,10
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Assault against peace or public officer (level 1) [1460],4
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats [1627],25
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats by non-family,
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats by family,
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats where relationship type is unknown,25
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Total robbery [160],4
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Total breaking and entering [210],50
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Breaking and entering, non-residential",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Breaking and entering, residential",
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Breaking and entering where location type is unknown,50
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Motor vehicle theft [2135],58
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Shoplifting [213],94
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Fraud/identity theft/identity fraud [216],55
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Fail to comply with order [3410],36
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Impaired driving, operating while impaired [923]",35
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Provincial/Territorial acts related to COVID-19,
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, domestic disturbances / disputes",296
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, Mental Health Act (MHA) apprehension",105
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, mental health - other",167
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, suicide/attempted suicide",68
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, overdose",25
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, child welfare check",2
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, check welfare - general",100
20-Sep,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, child custody matter - domestic",10
20-Sep,"London, Ontario, municipal [35162]","Total assaults (levels 1, 2, 3) [141]",180
20-Sep,"London, Ontario, municipal [35162]","Assaults by non-family (levels 1, 2, 3)",125
20-Sep,"London, Ontario, municipal [35162]","Assaults by family (levels 1, 2, 3)",55
20-Sep,"London, Ontario, municipal [35162]",Assaults where relationship type is unknown,0
20-Sep,"London, Ontario, municipal [35162]","Total sexual assaults (levels 1, 2, 3) [131]",33
20-Sep,"London, Ontario, municipal [35162]","Sexual assaults by non-family (levels 1, 2, 3)",31
20-Sep,"London, Ontario, municipal [35162]","Sexual assaults by family (levels 1, 2, 3)",2
20-Sep,"London, Ontario, municipal [35162]",Sexual assaults where relationship type is unknown,0
20-Sep,"London, Ontario, municipal [35162]",Assault against peace or public officer (level 1) [1460],11
20-Sep,"London, Ontario, municipal [35162]",Uttering threats [1627],51
20-Sep,"London, Ontario, municipal [35162]",Uttering threats by non-family,42
20-Sep,"London, Ontario, municipal [35162]",Uttering threats by family,9
20-Sep,"London, Ontario, municipal [35162]",Uttering threats where relationship type is unknown,0
20-Sep,"London, Ontario, municipal [35162]",Total robbery [160],25
20-Sep,"London, Ontario, municipal [35162]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"London, Ontario, municipal [35162]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"London, Ontario, municipal [35162]",Total breaking and entering [210],154
20-Sep,"London, Ontario, municipal [35162]","Breaking and entering, non-residential",77
20-Sep,"London, Ontario, municipal [35162]","Breaking and entering, residential",77
20-Sep,"London, Ontario, municipal [35162]",Breaking and entering where location type is unknown,0
20-Sep,"London, Ontario, municipal [35162]",Motor vehicle theft [2135],93
20-Sep,"London, Ontario, municipal [35162]",Shoplifting [213],93
20-Sep,"London, Ontario, municipal [35162]",Fraud/identity theft/identity fraud [216],187
20-Sep,"London, Ontario, municipal [35162]",Fail to comply with order [3410],128
20-Sep,"London, Ontario, municipal [35162]","Impaired driving, operating while impaired [923]",29
20-Sep,"London, Ontario, municipal [35162]",Provincial/Territorial acts related to COVID-19,
20-Sep,"London, Ontario, municipal [35162]","Calls for service, domestic disturbances / disputes",646
20-Sep,"London, Ontario, municipal [35162]","Calls for service, Mental Health Act (MHA) apprehension",114
20-Sep,"London, Ontario, municipal [35162]","Calls for service, mental health - other",
20-Sep,"London, Ontario, municipal [35162]","Calls for service, suicide/attempted suicide",
20-Sep,"London, Ontario, municipal [35162]","Calls for service, overdose",
20-Sep,"London, Ontario, municipal [35162]","Calls for service, child welfare check",
20-Sep,"London, Ontario, municipal [35162]","Calls for service, check welfare - general",1104
20-Sep,"London, Ontario, municipal [35162]","Calls for service, child custody matter - domestic",
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Total assaults (levels 1, 2, 3) [141]",385
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Assaults by non-family (levels 1, 2, 3)",252
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Assaults by family (levels 1, 2, 3)",133
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Assaults where relationship type is unknown,0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Total sexual assaults (levels 1, 2, 3) [131]",36
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Sexual assaults by non-family (levels 1, 2, 3)",27
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Sexual assaults by family (levels 1, 2, 3)",9
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Sexual assaults where relationship type is unknown,0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Assault against peace or public officer (level 1) [1460],2
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats [1627],92
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats by non-family,72
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats by family,20
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats where relationship type is unknown,0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Total robbery [160],31
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Total breaking and entering [210],161
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Breaking and entering, non-residential",96
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Breaking and entering, residential",65
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Breaking and entering where location type is unknown,0
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Motor vehicle theft [2135],79
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Shoplifting [213],170
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Fraud/identity theft/identity fraud [216],335
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Fail to comply with order [3410],165
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Impaired driving, operating while impaired [923]",49
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Provincial/Territorial acts related to COVID-19,27
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, domestic disturbances / disputes",564
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, Mental Health Act (MHA) apprehension",74
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, mental health - other",163
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, suicide/attempted suicide",170
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, overdose",68
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, child welfare check",
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, check welfare - general",567
20-Sep,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, child custody matter - domestic",24
20-Sep,"Toronto, Ontario, municipal [35304]","Total assaults (levels 1, 2, 3) [141]",1203
20-Sep,"Toronto, Ontario, municipal [35304]","Assaults by non-family (levels 1, 2, 3)",
20-Sep,"Toronto, Ontario, municipal [35304]","Assaults by family (levels 1, 2, 3)",
20-Sep,"Toronto, Ontario, municipal [35304]",Assaults where relationship type is unknown,1203
20-Sep,"Toronto, Ontario, municipal [35304]","Total sexual assaults (levels 1, 2, 3) [131]",131
20-Sep,"Toronto, Ontario, municipal [35304]","Sexual assaults by non-family (levels 1, 2, 3)",
20-Sep,"Toronto, Ontario, municipal [35304]","Sexual assaults by family (levels 1, 2, 3)",
20-Sep,"Toronto, Ontario, municipal [35304]",Sexual assaults where relationship type is unknown,131
20-Sep,"Toronto, Ontario, municipal [35304]",Assault against peace or public officer (level 1) [1460],48
20-Sep,"Toronto, Ontario, municipal [35304]",Uttering threats [1627],450
20-Sep,"Toronto, Ontario, municipal [35304]",Uttering threats by non-family,
20-Sep,"Toronto, Ontario, municipal [35304]",Uttering threats by family,
20-Sep,"Toronto, Ontario, municipal [35304]",Uttering threats where relationship type is unknown,450
20-Sep,"Toronto, Ontario, municipal [35304]",Total robbery [160],248
20-Sep,"Toronto, Ontario, municipal [35304]","Dangerous operation, causing death or bodily harm [911]",0
20-Sep,"Toronto, Ontario, municipal [35304]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"Toronto, Ontario, municipal [35304]",Total breaking and entering [210],529
20-Sep,"Toronto, Ontario, municipal [35304]","Breaking and entering, non-residential",
20-Sep,"Toronto, Ontario, municipal [35304]","Breaking and entering, residential",
20-Sep,"Toronto, Ontario, municipal [35304]",Breaking and entering where location type is unknown,529
20-Sep,"Toronto, Ontario, municipal [35304]",Motor vehicle theft [2135],555
20-Sep,"Toronto, Ontario, municipal [35304]",Shoplifting [213],243
20-Sep,"Toronto, Ontario, municipal [35304]",Fraud/identity theft/identity fraud [216],939
20-Sep,"Toronto, Ontario, municipal [35304]",Fail to comply with order [3410],436
20-Sep,"Toronto, Ontario, municipal [35304]","Impaired driving, operating while impaired [923]",114
20-Sep,"Toronto, Ontario, municipal [35304]",Provincial/Territorial acts related to COVID-19,1
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, domestic disturbances / disputes",1851
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, Mental Health Act (MHA) apprehension",1044
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, mental health - other",2531
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, suicide/attempted suicide",990
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, overdose",409
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, child welfare check",
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, check welfare - general",871
20-Sep,"Toronto, Ontario, municipal [35304]","Calls for service, child custody matter - domestic",
20-Sep,"York Region, Ontario, municipal [35335]","Total assaults (levels 1, 2, 3) [141]",319
20-Sep,"York Region, Ontario, municipal [35335]","Assaults by non-family (levels 1, 2, 3)",225
20-Sep,"York Region, Ontario, municipal [35335]","Assaults by family (levels 1, 2, 3)",94
20-Sep,"York Region, Ontario, municipal [35335]",Assaults where relationship type is unknown,0
20-Sep,"York Region, Ontario, municipal [35335]","Total sexual assaults (levels 1, 2, 3) [131]",54
20-Sep,"York Region, Ontario, municipal [35335]","Sexual assaults by non-family (levels 1, 2, 3)",40
20-Sep,"York Region, Ontario, municipal [35335]","Sexual assaults by family (levels 1, 2, 3)",14
20-Sep,"York Region, Ontario, municipal [35335]",Sexual assaults where relationship type is unknown,0
20-Sep,"York Region, Ontario, municipal [35335]",Assault against peace or public officer (level 1) [1460],12
20-Sep,"York Region, Ontario, municipal [35335]",Uttering threats [1627],156
20-Sep,"York Region, Ontario, municipal [35335]",Uttering threats by non-family,95
20-Sep,"York Region, Ontario, municipal [35335]",Uttering threats by family,20
20-Sep,"York Region, Ontario, municipal [35335]",Uttering threats where relationship type is unknown,41
20-Sep,"York Region, Ontario, municipal [35335]",Total robbery [160],18
20-Sep,"York Region, Ontario, municipal [35335]","Dangerous operation, causing death or bodily harm [911]",1
20-Sep,"York Region, Ontario, municipal [35335]","Impaired driving, causing death or bodily harm [921]",0
20-Sep,"York Region, Ontario, municipal [35335]",Total breaking and entering [210],119
