"Real-time Local Business Condition Index (RTLBCI)"
"Frequency: Weekly"
"Table: 33-10-0398-01"
"Release date: 2023-04-28"
"Geography: Population centre"
""
""

"Geography","August 10, 2020","August 17, 2020","August 24, 2020","August 31, 2020","September 7, 2020","September 14, 2020","September 21, 2020","September 28, 2020","October 5, 2020","October 12, 2020","October 19, 2020","October 26, 2020","November 2, 2020","November 9, 2020","November 16, 2020","November 23, 2020","November 30, 2020","December 7, 2020","December 14, 2020","December 21, 2020","December 28, 2020","January 4, 2021","January 11, 2021","January 18, 2021","January 25, 2021","February 1, 2021","February 8, 2021","February 15, 2021","February 22, 2021","March 1, 2021","March 8, 2021","March 15, 2021","March 22, 2021","March 29, 2021","April 5, 2021","April 12, 2021","April 19, 2021","April 26, 2021","May 3, 2021","May 10, 2021","May 17, 2021","May 24, 2021","May 31, 2021","June 7, 2021","June 14, 2021","June 21, 2021","June 28, 2021","July 5, 2021","July 12, 2021","July 19, 2021","July 26, 2021","August 2, 2021","August 9, 2021","August 16, 2021","August 23, 2021","August 30, 2021","September 6, 2021","September 13, 2021","September 20, 2021","September 27, 2021","October 4, 2021","October 11, 2021","October 18, 2021","October 25, 2021","November 1, 2021","November 8, 2021","November 15, 2021","November 22, 2021","November 29, 2021","December 6, 2021","December 13, 2021","December 20, 2021","December 27, 2021","January 3, 2022","January 10, 2022","January 17, 2022","January 24, 2022","January 31, 2022","February 7, 2022","February 14, 2022","February 21, 2022","February 28, 2022","March 7, 2022","March 14, 2022","March 21, 2022","March 28, 2022","April 4, 2022","April 11, 2022","April 18, 2022","April 25, 2022","May 2, 2022","May 9, 2022","May 16, 2022","May 23, 2022","May 30, 2022","June 6, 2022","June 13, 2022","June 20, 2022","June 27, 2022","July 4, 2022","July 11, 2022","July 18, 2022","July 25, 2022","August 1, 2022","August 8, 2022","August 15, 2022","August 22, 2022","August 29, 2022","September 5, 2022","September 12, 2022","September 19, 2022","September 26, 2022","October 3, 2022","October 10, 2022","October 17, 2022","October 24, 2022","October 31, 2022","November 7, 2022","November 14, 2022","November 21, 2022","November 28, 2022","December 5, 2022","December 12, 2022","December 19, 2022","December 26, 2022","January 2, 2023","January 9, 2023","January 16, 2023","January 23, 2023","January 30, 2023","February 6, 2023","February 13, 2023","February 20, 2023","February 27, 2023","March 6, 2023","March 13, 2023","March 20, 2023","March 27, 2023","April 3, 2023","April 10, 2023","April 17, 2023"
"Windsor, Ontario (1032) 1","100.00","110.03","103.80","100.01","95.91","102.88","105.14","119.49","134.46","141.32","140.02","137.80","125.76","158.08","161.19","158.90","145.35","147.66","150.89","145.92","149.20","155.10","130.80","130.80","132.90","130.86","124.12","114.78","114.85","172.34","140.15","147.90","174.53","178.68","174.84","165.87","169.52","158.93","180.20","175.02","188.76","174.54","178.01","167.66","178.12","181.11","179.22","177.11","182.48","184.38","191.11","183.24","184.26","212.03","209.80","210.78","210.35","211.92","220.28","199.22","208.28","212.33","218.56","231.71","217.32","190.21","204.73","215.82","209.33","206.42","208.39","211.37","195.35","198.90","153.03","173.52","169.90","163.10","173.06","150.20","163.09","203.48","180.06","169.89","228.25","232.26","224.92","230.15","241.09","242.10","252.11","236.08","246.01","232.62","245.34","253.07","265.17","261.43","257.55","224.98","241.79","250.24","257.99","284.57","251.91","296.99","302.85","293.32","309.60","317.07","305.74","302.10","304.17","302.54","292.69","327.36","355.23","318.19","337.15","357.82","351.24","327.02","316.27","320.64","275.18","318.81","284.12","330.41","317.85","297.90","293.76","273.99","279.22","339.15","286.23","279.71","349.69","359.38","355.25","353.51","375.58"
"Winnipeg, Manitoba (1036) 1","100.00","96.72","107.63","102.63","109.43","113.01","107.05","124.78","137.18","146.60","139.27","133.86","130.36","137.12","141.32","134.04","148.37","147.00","155.28","167.41","180.06","171.01","176.38","159.23","152.59","167.63","166.33","164.34","145.26","189.74","168.23","159.27","207.35","200.67","198.50","208.03","194.85","200.13","181.07","187.41","176.91","182.20","179.28","179.57","195.59","193.03","185.22","185.85","206.90","204.46","198.95","198.49","206.59","216.66","216.71","229.89","243.76","236.38","247.66","226.26","222.12","231.18","242.58","258.67","242.92","245.04","206.85","252.02","245.96","261.84","243.42","263.68","221.71","208.89","196.23","194.64","179.33","210.35","202.32","216.88","183.46","228.91","217.96","193.40","262.79","250.82","251.25","262.85","200.14","260.03","243.33","246.25","256.78","260.72","256.16","266.96","269.36","266.22","246.14","244.82","252.71","259.80","262.18","254.29","267.87","289.58","287.74","310.67","320.57","323.76","337.97","312.21","295.55","309.42","312.95","329.69","357.25","349.22","297.99","334.55","325.54","334.90","321.36","327.70","299.00","364.34","340.30","324.87","310.60","319.32","317.97","315.68","277.26","335.61","303.46","273.72","360.12","341.25","347.78","325.07","349.53"
"Saskatoon, Saskatchewan (0738) 1","100.00","83.17","87.45","88.93","95.06","84.07","78.92","102.29","108.28","110.23","119.27","120.51","116.81","140.38","117.96","141.05","142.81","150.35","162.86","170.04","239.98","229.20","215.27","191.60","178.52","170.13","174.14","164.22","159.99","207.09","170.79","163.31","209.04","185.56","168.35","178.83","170.48","157.04","148.10","147.15","146.48","149.52","146.01","152.80","167.81","174.60","159.22","146.39","173.59","182.75","156.18","175.32","196.81","234.30","188.93","190.08","212.00","185.92","180.88","173.03","174.99","158.98","170.78","204.94","210.74","178.88","195.18","203.15","217.94","210.57","205.92","224.97","195.90","259.15","218.98","225.33","201.85","216.91","197.20","207.32","207.38","247.08","202.51","207.65","230.40","236.59","219.04","234.81","200.56","192.95","193.90","193.41","191.76","205.42","197.74","190.21","202.31","209.62","165.62","175.07","203.27","201.83","186.51","208.95","225.59","277.92","227.85","228.20","249.90","251.99","239.67","228.16","221.21","205.75","212.89","260.37","286.70","233.61","256.97","289.77","276.66","273.63","278.11","294.61","264.90","347.91","329.09","333.72","297.46","303.37","302.72","283.96","279.25","327.91","297.15","260.79","315.95","300.47","296.15","263.28","280.50"
"Regina, Saskatchewan (0698) 1","100.00","113.86","125.68","116.35","137.23","124.97","122.13","156.75","162.23","183.57","175.01","171.15","185.42","220.08","208.47","224.73","208.16","204.95","209.91","228.56","321.68","320.53","295.52","254.46","248.94","243.14","216.49","216.45","223.36","310.74","255.42","230.98","293.10","242.11","222.67","242.67","247.86","254.44","250.26","237.27","245.15","220.17","246.10","247.43","257.64","257.40","258.92","241.21","265.05","261.09","242.65","258.62","246.77","258.47","311.72","302.57","302.67","298.57","318.65","293.44","290.69","278.04","303.59","330.05","304.50","294.94","311.55","286.18","361.66","312.22","330.84","321.65","292.27","404.29","354.07","318.19","304.45","313.76","289.22","299.98","301.02","374.84","331.77","313.25","380.98","347.46","365.21","376.30","328.53","354.52","367.15","341.55","334.08","293.55","321.74","344.75","341.10","297.67","308.95","291.38","313.46","292.10","280.95","303.68","281.43","275.78","345.94","340.55","338.43","357.28","369.06","333.60","330.73","317.19","347.30","381.81","397.55","386.71","384.51","466.70","422.77","420.68","396.58","404.39","377.66","569.56","517.02","481.20","449.60","451.51","420.46","416.15","414.92","524.03","457.72","398.64","519.94","457.13","475.59","445.41","486.37"
"Calgary, Alberta (0115) 1","100.00","102.18","114.89","109.88","119.03","120.31","105.16","126.93","140.53","140.18","135.04","128.36","141.81","149.16","148.36","142.90","154.41","143.02","142.67","140.06","133.23","152.08","141.81","138.50","140.62","136.94","126.08","136.90","144.21","177.28","160.48","155.05","194.57","182.02","182.57","180.55","178.17","169.20","177.45","166.81","159.82","169.05","173.31","180.19","198.62","196.05","199.10","195.77","205.54","197.54","218.41","220.43","216.10","233.19","235.31","251.22","243.89","232.02","229.50","194.05","196.72","211.83","178.94","215.21","218.50","216.02","211.01","214.21","210.89","232.91","222.14","215.61","183.39","211.31","179.80","191.11","192.15","196.03","195.86","206.11","212.57","239.94","221.65","215.12","273.97","258.34","273.25","277.94","276.76","263.03","269.31","266.80","267.83","328.06","318.08","316.02","316.92","321.02","309.55","289.60","311.50","306.57","299.15","310.88","300.35","323.03","334.28","339.20","338.78","345.03","364.23","310.51","325.04","339.69","328.34","341.03","379.76","321.95","320.15","340.15","329.12","371.17","345.82","368.45","297.67","406.47","347.37","348.85","350.57","325.09","326.16","329.12","346.75","363.31","343.36","316.49","410.24","393.42","404.54","394.85","409.03"
"Edmonton, Alberta (0252) 1","100.00","101.17","102.53","99.17","105.71","101.66","103.27","122.79","135.64","135.61","137.26","133.28","144.56","159.73","159.61","154.85","159.44","159.12","164.88","156.91","193.46","184.92","173.02","163.13","157.32","152.31","148.38","151.28","139.77","183.55","165.62","152.47","194.40","190.09","197.17","187.72","188.93","181.06","176.34","172.64","172.46","186.83","198.68","207.46","209.22","188.45","189.93","190.70","203.01","204.71","213.11","205.72","211.45","228.33","247.79","251.14","240.03","227.30","232.28","216.36","210.37","217.49","223.41","242.72","239.06","236.51","237.58","232.03","233.18","239.66","231.95","238.88","202.53","236.35","198.93","198.81","190.84","203.76","196.79","205.18","198.28","236.90","223.47","209.15","273.31","259.54","286.60","276.68","277.89","281.06","268.27","260.34","275.88","302.63","303.36","299.45","284.51","251.12","265.29","248.67","255.25","243.39","255.82","253.62","260.61","264.02","270.12","278.84","283.51","288.51","290.58","276.74","272.22","271.94","263.68","289.29","311.79","288.42","275.70","312.11","305.04","301.46","301.23","305.64","262.65","350.18","320.41","304.79","297.66","295.71","278.43","272.77","263.45","314.62","295.67","257.80","332.19","318.05","333.62","316.80","332.26"
"Abbotsford, British Columbia (1048) 1","100.00","102.24","116.43","103.30","114.34","112.39","115.00","142.61","155.05","162.86","165.92","173.38","153.40","198.10","202.16","199.45","190.81","203.75","211.17","230.53","243.31","241.11","235.35","197.46","197.43","182.84","254.57","243.36","232.98","274.75","216.59","199.96","260.58","254.11","262.31","248.38","258.00","246.19","237.98","226.79","222.93","236.13","243.53","244.07","253.12","251.43","248.01","235.15","266.32","258.92","248.04","258.81","258.31","269.35","291.33","294.90","289.68","281.72","313.02","299.37","280.03","282.78","291.25","319.83","319.33","265.96","288.34","330.21","314.87","323.38","299.52","316.17","276.39","294.67","269.16","250.97","249.24","240.36","328.17","317.80","314.43","338.84","271.32","246.56","333.08","313.02","353.98","329.85","322.96","321.14","300.22","283.46","286.30","292.73","305.78","305.19","314.67","302.18","304.53","285.50","313.11","303.77","292.08","297.72","309.45","335.25","349.31","352.08","351.99","357.90","377.64","354.22","345.15","345.89","345.99","375.64","437.13","362.30","394.64","403.78","383.65","372.54","386.45","393.07","304.54","439.90","410.00","349.83","348.62","321.67","438.03","412.45","402.79","432.51","358.23","328.64","428.19","426.08","471.00","417.67","442.22"
"Kelowna, British Columbia (0403) 1","100.00","106.54","111.33","105.51","127.46","116.38","99.12","123.02","136.45","141.38","139.74","139.06","124.90","167.00","177.09","174.91","174.99","175.12","184.90","214.64","303.43","301.58","311.29","271.62","261.64","249.26","260.59","264.63","259.02","296.42","243.47","222.17","276.93","283.70","164.20","157.74","169.93","145.12","241.54","229.61","217.28","209.53","240.95","247.09","241.60","241.72","241.54","262.68","256.63","264.91","263.11","253.42","214.24","228.55","240.19","232.56","254.59","265.55","283.08","274.23","253.17","242.20","256.62","264.42","264.11","220.36","237.81","253.02","260.18","268.20","269.75","279.45","248.07","353.48","348.71","341.58","320.82","330.67","336.32","347.90","360.37","376.02","309.12","300.49","339.61","342.98","194.68","215.96","221.99","198.14","329.86","308.77","284.67","283.10","307.62","297.33","317.49","309.01","300.51","307.29","278.48","276.54","276.78","293.94","259.21","281.18","316.25","307.70","331.10","315.31","335.33","316.41","310.63","299.35","305.38","319.50","331.26","280.87","300.61","339.04","317.20","326.74","332.27","341.68","294.78","531.53","509.87","469.39","450.70","438.42","440.61","426.67","435.71","452.81","377.43","341.40","428.39","392.34","224.78","238.11","226.28"
"White Rock, British Columbia (1021) 1","100.00","103.06","102.93","98.76","101.63","109.31","109.99","128.32","152.81","155.38","146.35","145.31","115.42","180.12","187.39","198.95","206.49","192.55","194.46","212.21","330.27","317.84","318.87","277.25","260.66","257.21","266.24","241.74","278.20","295.86","233.14","228.86","279.83","310.28","300.74","280.98","301.42","266.75","256.32","248.29","234.94","251.71","242.69","259.84","263.34","256.26","242.69","243.93","253.10","249.77","245.15","237.81","253.54","268.11","281.44","284.03","272.52","277.07","297.65","283.10","255.67","260.12","267.90","297.37","301.65","239.91","258.38","272.20","261.02","277.87","262.38","271.05","243.40","372.72","355.00","336.89","325.71","336.51","343.11","343.47","364.17","369.44","299.70","264.62","359.45","370.43","375.38","365.06","368.56","341.69","328.71","309.68","286.93","307.50","302.98","331.79","340.58","314.36","321.30","299.55","291.82","317.50","317.12","305.10","329.05","343.21","350.90","357.01","349.69","349.37","384.15","361.84","329.09","334.89","340.00","363.10","408.64","334.36","368.85","383.24","365.19","357.57","363.76","347.27","268.80","583.47","579.77","501.62","447.44","448.61","439.94","444.68","489.98","470.16","376.22","363.82","427.27","486.96","506.10","445.58","479.93"
"Vancouver, British Columbia (0973) 1","100.00","103.20","101.99","101.32","109.63","108.88","101.24","113.15","129.63","126.71","135.08","133.95","136.37","144.18","139.90","136.69","142.56","142.85","141.26","156.75","186.63","183.90","182.69","164.99","163.23","155.68","149.72","142.89","160.03","174.50","147.09","143.46","185.43","184.71","176.04","176.88","181.55","159.79","155.06","152.82","153.70","159.21","161.42","164.74","176.04","176.17","179.74","182.93","194.48","190.33","187.73","188.86","195.82","205.92","214.54","213.68","211.48","212.18","216.82","209.08","187.24","194.99","192.71","205.76","211.68","199.25","194.96","206.05","196.86","207.27","206.58","207.23","182.84","200.87","191.74","187.75","193.66","193.33","185.69","193.48","215.87","231.33","194.22","180.92","233.63","227.63","231.24","240.48","242.61","230.82","219.92","200.63","205.37","212.87","212.22","215.23","233.27","219.11","221.25","217.23","211.77","220.08","216.45","214.21","221.55","235.70","244.38","244.03","242.15","243.34","262.37","242.20","229.33","238.22","234.00","254.16","272.74","269.75","260.94","275.56","264.13","251.25","262.21","254.50","194.15","314.16","300.62","277.87","276.15","270.31","243.81","247.25","277.76","272.75","236.11","232.04","297.32","282.34","292.56","286.44","295.66"
"Victoria, British Columbia (0984) 1","100.00","95.70","106.75","95.76","104.56","106.64","103.62","124.79","132.11","139.70","145.12","154.12","144.06","179.55","194.30","187.91","186.10","177.02","184.02","207.00","205.16","217.04","212.45","195.70","180.13","195.00","138.52","112.16","144.60","185.18","152.58","149.54","188.65","178.32","176.36","170.33","167.04","226.35","226.70","215.63","213.86","217.73","209.41","215.28","218.65","198.15","182.75","183.70","205.73","197.17","193.51","200.31","202.94","204.48","207.84","214.20","222.47","215.18","232.51","215.14","207.99","209.30","217.56","235.25","246.55","216.00","239.61","231.47","229.46","241.98","234.22","237.70","200.43","208.03","202.96","205.39","203.95","225.35","151.40","145.61","167.48","204.22","168.66","160.17","207.78","194.69","188.95","202.60","194.38","271.41","261.43","228.51","230.25","227.66","216.98","219.85","254.01","232.29","217.74","213.17","220.06","224.71","210.43","211.65","216.74","238.72","238.79","251.31","246.75","252.27","270.00","255.41","258.63","257.11","265.89","281.97","333.60","302.51","312.56","322.35","298.85","298.45","292.01","285.88","193.66","305.71","293.53","275.62","262.28","280.76","187.35","178.13","202.17","243.85","208.52","200.21","249.26","230.71","229.10","229.06","234.48"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"The Population Center Unique Identifier (PCUID) is one of the Dissemination Geography Unique Identifiers (DGUID) at Statistics Canada. The DGUID is a skeleton key for linking geospatial data and statistical data. It facilitates linking every geographic area maintained by Statistics Canada with data tables that use geographic names within Common Output Database Repository (CODR). "



"How to cite: Statistics Canada. Table 33-10-0398-01  Real-time Local Business Condition Index (RTLBCI)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310039801
